time,House overall,Dishwasher,Home office,Fridge,Wine cellar,Garage door,Barn,Well,Microwave,Living room,Furnace,Kitchen,Solar,temperature,humidity,visibility,apparentTemperature,pressure,windSpeed,cloudCover,windBearing,precipIntensity,dewPoint,precipProbability,year_month
2016-01-10 22:56:00,3.659983333,0.0,0.143916667,0.004916667,0.0067,0.012516667,0.034716667,0.001016667,0.004,0.00415,0.084016667,0.000750033,0.0032,36.51,0.57,10.0,28.02,1000.15,13.15,0.48,285.0,0.0,22.71,0.0,2016-01
2016-01-07 18:28:00,0.354816667,3.33e-05,0.048833333,0.118733333,0.12145,0.012733333,0.026116667,0.001,0.004033333,0.001516667,0.1621833329999999,0.000483267,0.3598,26.55,0.57,10.0,26.55,1024.95,2.37,0.0,4.0,0.0,13.32,0.0,2016-01
2016-01-25 18:21:00,0.503383333,0.000283333,0.040566667,0.005033333,0.121816667,0.01215,0.028783333,0.001,0.004016667,0.001533333,0.570333333,0.0012,0.364883333,34.14,0.76,9.31,27.8,1017.35,7.41,0.0,207.0,0.0,27.42,0.0,2016-01
2016-01-12 21:54:00,1.410283333,8.33e-05,0.162933333,0.122283333,0.007116667,0.0135,0.16255,0.001166667,0.004,0.001616667,0.695483333,0.000583367,0.003233333,23.34,0.59,9.78,12.0,1003.09,11.77,0.1,280.0,0.0,10.98,0.0,2016-01
2016-01-10 04:32:00,0.694866667,1.67e-05,0.432716667,0.0048,0.006816667,0.0132,0.029983333,0.001033333,0.004,0.001616667,0.0853,0.001000033,0.003366667,39.39,0.89,8.64,35.19,1013.68,5.77,0.31,50.0,0.0064,36.32,0.3,2016-01
2016-01-03 14:55:00,0.468733333,0.000216667,0.040816667,0.004816667,0.007116667,0.0124,0.028966667,0.001,0.004066667,0.001433333,0.50485,0.001100033,0.31625,37.22,0.55,10.0,30.96,1008.43,8.45,0.06,239.0,0.0,22.47,0.0,2016-01
2016-01-05 13:53:00,0.78325,5e-05,0.040583333,0.00555,0.007433333,0.013233333,0.026966667,0.001,0.004266667,0.334483333,0.3077999999999999,0.000550033,0.062683333,17.73,0.4,10.0,8.89,1035.66,6.36,0.0,358.0,0.0,-2.57,0.0,2016-01
2016-01-15 00:59:00,1.35285,5e-05,0.36465,0.005116667,0.006966667,0.013333333,0.029466667,0.001016667,0.004133333,0.001583333,0.702183333,0.000650033,0.002966667,26.03,0.78,10.0,26.03,1015.24,0.61,1.0,83.0,0.0,20.05,0.0,2016-01
2016-01-06 03:46:00,1.679766667,3.33e-05,0.426966667,0.005033333,0.0075,0.013383333,0.02985,0.001016667,0.004133333,0.001666667,0.79735,0.000716667,0.003316667,8.85,0.76,10.0,0.21,1035.06,4.76,0.0,257.0,0.0,3.0,0.0,2016-01
2016-01-29 06:27:00,0.320583333,0.0,0.042516667,0.00555,0.007666667,0.013116667,0.03085,0.000966667,0.004,0.0015,0.09955,0.0007167,0.0032,26.59,0.65,10.0,17.43,1008.11,9.31,0.08,295.0,0.0,16.6,0.0,2016-01
2016-01-10 13:26:00,1.54755,6.67e-05,0.040933333,0.00525,0.122866667,0.012616667,0.028383333,0.001,0.004,0.001516667,1.1218,0.0007666,0.002116667,55.88,0.92,6.15,55.88,991.53,11.08,0.31,166.0,0.0097,53.47,0.5,2016-01
2016-01-29 03:31:00,0.473616667,0.0,0.042516667,0.005183333,0.007466667,0.013016667,0.03335,0.001016667,0.004166667,0.0018,0.084533333,0.000816667,0.00345,28.77,0.66,9.68,18.42,1004.81,12.65,0.17,296.0,0.0,18.73,0.0,2016-01
2016-01-06 16:06:00,0.1849,1.67e-05,0.085116667,0.120666667,0.007166667,0.012933333,0.027716667,0.001,0.004266667,0.001383333,0.13715,0.000400067,0.393016667,39.69,0.22,10.0,35.42,1029.35,5.96,0.03,205.0,0.0,3.93,0.0,2016-01
2016-01-11 07:46:00,0.35585,0.00025,0.042366667,0.005083333,0.006733333,0.01295,0.035783333,0.001016667,0.004,0.001583333,0.13145,0.000749967,0.00325,29.31,0.39,10.0,17.92,1010.13,15.6,0.23,286.0,0.0,7.19,0.0,2016-01
2016-01-29 23:37:00,1.502616667,1.67e-05,0.042033333,0.005216667,0.007683333,0.012883333,0.406033333,0.001016667,0.00425,0.0011,0.7928666659999999,0.0009,0.003416667,34.91,0.51,10.0,27.39,1013.84,9.88,0.08,184.0,0.0,18.45,0.0,2016-01
2016-01-26 04:42:00,1.04435,0.000383333,0.04155,0.005366667,0.007816667,0.013516667,0.0313,0.001,0.004016667,0.00165,0.7141,0.000833366,0.003066667,42.06,0.66,10.0,36.68,1011.34,8.89,0.0,190.0,0.0,31.4,0.0,2016-01
2016-01-05 10:13:00,1.476783333,0.000216667,0.04215,0.00505,0.0075,0.012733333,0.0298,0.001,0.004166667,0.0017,1.151033334,0.0006833,0.003316667,5.29,0.64,10.0,-5.81,1035.58,6.19,0.0,349.0,0.0,-4.13,0.0,2016-01
2016-01-09 06:36:00,0.423783333,0.0,0.04245,0.0051,0.007233333,0.013166667,0.030666667,0.001016667,0.004,0.0017,0.129833333,0.0007167,0.003366667,34.91,0.85,7.66,31.96,1023.36,3.52,0.31,38.0,0.0,30.94,0.0,2016-01
2016-02-02 17:12:00,0.645033333,3.33e-05,0.039683333,0.1433,0.006783333,0.01265,0.0279,0.001,0.004,0.340566667,0.2913833329999999,0.000316667,0.444516667,47.85,0.91,4.6,43.58,1014.03,9.44,1.0,169.0,0.0898,45.23,0.77,2016-02
2016-02-14 00:27:00,1.930483333,8.33e-05,0.056333333,0.134816667,0.006866667,0.012266667,0.038016667,0.001,0.004083333,0.001583333,1.091616667,0.000466667,0.003216667,-9.96,0.72,9.61,-9.96,1036.02,2.76,0.04,298.0,0.0,-16.4,0.0,2016-02
2016-02-21 19:01:00,0.494316667,0.0,0.0398,0.005283333,0.0066,0.098333333,0.032383333,0.001,0.004116667,0.001616667,0.168233333,0.0007833,0.151166667,25.81,0.53,10.0,18.54,1030.35,6.37,0.11,37.0,0.0,11.27,0.0,2016-02
2016-02-24 07:34:00,1.0111,0.000266667,0.04175,0.12885,0.006516667,0.012166667,0.032816667,0.001,0.004,0.0016,0.636566667,0.0006667,0.002883333,36.13,0.75,8.46,27.12,994.54,14.28,0.31,277.0,0.0028,28.92,0.09,2016-02
2016-02-13 19:02:00,1.0634,0.000266667,0.04105,0.121716667,0.0073,0.012133333,0.529033333,0.001016667,0.004033333,0.098466667,0.545433333,0.0007,0.45995,-7.19,0.67,9.96,-7.19,1034.97,0.99,0.0,11.0,0.0,-15.2,0.0,2016-02
2016-02-09 17:19:00,0.11785,0.0,0.04045,0.005,0.006816667,0.013083333,0.030266667,0.000983333,0.00425,0.33895,0.135733333,0.000700034,0.537683333,28.6,0.7,10.0,21.96,1004.47,6.28,0.21,287.0,0.0,19.97,0.0,2016-02
2016-02-20 00:47:00,1.14615,0.000233333,0.04215,0.004633333,0.006633333,0.012266667,0.167066667,0.0012,0.00395,0.001783333,0.649083333,0.0011166999999999,0.003433333,49.88,0.47,10.0,46.14,1011.78,9.25,0.19,290.0,0.0,30.58,0.0,2016-02
2016-02-05 14:59:00,1.280583333,0.000116667,0.135516667,0.12965,0.007016667,0.013283333,0.033016667,0.001,0.0041,0.001566667,0.70045,0.0006833669999999,0.003333333,36.92,0.49,10.0,29.51,1024.17,10.71,0.03,175.0,0.0,19.73,0.0,2016-02
2016-02-21 19:32:00,0.325283333,0.0,0.0401,0.0051,0.006633333,0.012966667,0.03225,0.001,0.004133333,0.001416667,0.1630166659999999,0.000783333,0.062383333,28.28,0.51,10.0,20.82,1030.1,7.26,0.21,32.0,0.0,12.51,0.0,2016-02
2016-02-25 05:53:00,0.54595,0.000266667,0.041883333,0.120416667,0.006933333,0.013083333,0.03315,0.001,0.004,0.001483333,0.166933333,0.000500033,0.00315,22.58,0.49,10.0,11.03,1016.71,11.82,0.0,298.0,0.0,6.27,0.0,2016-02
2016-02-19 05:03:00,1.105,0.00025,0.043033333,0.10395,0.006616667,0.012383333,0.060333333,0.001016667,0.004166667,0.001666667,0.666033333,0.00075,0.003383333,57.81,0.34,10.0,57.81,1007.36,11.78,0.08,212.0,0.0,29.47,0.0,2016-02
2016-02-11 10:56:00,1.404816667,5e-05,0.04205,0.011216667,0.007316667,0.0123,0.032533333,0.00085,0.0039,0.001383333,1.071966666,0.00065,0.0034,21.46,0.39,10.0,10.76,1016.8,9.85,0.14,196.0,0.0,0.51,0.0,2016-02
2016-02-10 06:08:00,0.99715,3.33e-05,0.04255,0.005266667,0.013566667,0.013466667,0.033883333,0.001,0.004,0.0016,0.596733333,0.000716666,0.003033333,20.7,0.51,9.37,7.32,1008.57,14.54,0.17,292.0,0.0,5.29,0.0,2016-02
2016-02-19 23:13:00,1.36545,0.000233333,0.0419,0.00475,0.120866667,0.01215,0.318116667,0.001033333,0.004216667,0.001033333,0.6463833330000001,0.001216667,0.003366667,48.57,0.51,10.0,44.24,1012.53,10.05,0.2,274.0,0.0,31.13,0.0,2016-02
2016-02-04 08:41:00,0.333116667,0.0,0.041516667,0.0051,0.00685,0.0131,0.0479,0.001,0.004,0.00165,0.099683334,0.000716733,0.003166667,31.73,0.88,1.47,24.27,1018.79,8.41,1.0,353.0,0.0132,28.65,0.54,2016-02
2016-02-26 07:54:00,1.161416667,5e-05,0.041216667,0.005766667,0.007283333,0.013466667,0.0333,0.001,0.0042,0.001666667,0.811783334,0.000883367,0.003416667,34.42,0.53,10.0,28.75,1012.06,6.5,0.12,215.0,0.0,18.93,0.0,2016-02
2016-02-14 05:37:00,1.035733333,0.000116667,0.042616667,0.00525,0.00665,0.012466667,0.032683333,0.001,0.004,0.001666667,0.773616667,0.0009167,0.002916667,12.74,0.64,7.59,7.41,1032.72,3.06,0.78,132.0,0.0,2.78,0.0,2016-02
2016-02-04 02:33:00,0.34635,0.0,0.0416,0.005133333,0.0069,0.013,0.0882,0.001,0.004016667,0.001666667,0.0828,0.000716733,0.003283333,37.92,0.59,9.92,31.72,1018.2,8.64,0.6,347.0,0.0008,24.81,0.01,2016-02
2016-02-15 13:07:00,0.4366,3.33e-05,0.040433333,0.005116667,0.006766667,0.012833333,0.030483333,0.000983333,0.004066667,0.00125,0.25025,0.000683333,0.066283333,41.54,0.8,9.92,35.2,1000.95,10.86,0.31,284.0,0.0028,35.87,0.09,2016-02
2016-02-25 19:57:00,0.360633333,0.0,0.039733333,0.132133333,0.007083333,0.012916667,0.031016667,0.001,0.004116667,0.00135,0.170733334,0.0004500669999999,0.186033333,31.7,0.44,10.0,25.4,1016.85,6.63,0.1,216.0,0.0,12.16,0.0,2016-02
2016-02-20 06:15:00,0.531716667,0.0,0.041933333,0.0051,0.006916667,0.013,0.038133333,0.000983333,0.004,0.00155,0.230516667,0.000783367,0.0031,44.39,0.56,10.0,40.48,1013.64,6.9,0.15,320.0,0.0,29.68,0.0,2016-02
2016-02-13 20:44:00,1.845966667,0.000233333,0.071533333,0.1353,0.006683333,0.012233333,0.6933,0.00115,0.003983333,0.00155,0.5485,0.0007167,0.059083333,-8.08,0.72,10.0,-8.08,1035.04,1.93,0.0,222.0,0.0,-14.65,0.0,2016-02
2016-02-17 14:38:00,1.099466667,6.67e-05,0.035183333,0.0053,0.006916667,0.013116667,0.032116667,0.001016667,0.004016667,0.0015,0.7331833329999999,0.0008833,0.083616667,17.84,0.49,10.0,11.0,1034.42,4.55,0.0,353.0,0.0,1.98,0.0,2016-02
2016-02-20 10:57:00,0.459833333,0.0,0.0419,0.005133333,0.006833333,0.0131,0.038216667,0.001016667,0.0042,0.001633333,0.1644,0.000783333,0.003433333,38.53,0.68,10.0,35.47,1015.3,4.16,0.31,325.0,0.0,28.97,0.0,2016-02
2016-02-28 02:44:00,0.835716667,1.67e-05,0.04295,0.123933333,0.006933333,0.013216667,0.033433333,0.001016667,0.00405,0.001516667,0.327033333,0.000416667,0.003383333,36.07,0.74,10.0,30.23,1007.8,7.28,0.1,242.0,0.0,28.53,0.0,2016-02
2016-02-28 00:36:00,0.78035,1.67e-05,0.089266667,0.0142,0.00685,0.012983333,0.033083333,0.001033333,0.004066667,0.001633333,0.230516667,0.000800033,0.003366667,40.69,0.63,10.0,40.69,1007.26,2.69,0.03,251.0,0.0,28.95,0.0,2016-02
2016-02-21 01:49:00,0.570833333,0.0,0.04175,0.12805,0.0067,0.013,0.03315,0.001,0.004,0.001666667,0.182283333,0.000400033,0.003066667,42.48,0.34,10.0,37.01,1019.58,9.32,0.04,322.0,0.0,16.12,0.0,2016-02
2016-02-17 21:32:00,0.473016667,1.67e-05,0.0355,0.00505,0.00665,0.012666667,0.03165,0.000983333,0.003983333,0.001466667,0.211383333,0.000750033,0.01105,15.52,0.65,10.0,15.52,1036.35,2.71,0.04,36.0,0.0,6.04,0.0,2016-02
2016-02-16 04:51:00,0.784733333,1.67e-05,0.042633333,0.011433333,0.006833333,0.012666667,0.036316667,0.000983333,0.004016667,0.0017,0.2153499999999999,0.0008667,0.002783333,35.55,0.61,10.0,27.88,1014.0,10.53,0.67,300.0,0.0,23.43,0.0,2016-02
2016-02-20 05:53:00,1.458233333,8.33e-05,0.0413,0.121466667,0.007233333,0.013483333,0.03815,0.000983333,0.004016667,0.001583333,0.88815,0.000866633,0.003,44.39,0.56,10.0,40.48,1013.64,6.9,0.15,320.0,0.0,29.68,0.0,2016-02
2016-02-28 14:41:00,1.048016667,0.000266667,0.041433333,0.005016667,0.00645,0.01215,0.03085,0.001,0.00415,0.333883333,0.59705,0.001100033,0.082816667,29.86,0.33,10.0,23.31,1023.04,6.47,0.02,302.0,0.0,4.18,0.0,2016-02
2016-02-03 18:46:00,0.50605,1.67e-05,0.03955,0.123116667,0.007,0.013033333,0.030183333,0.001,0.00405,0.0015,0.084966667,0.000416667,0.005266667,44.33,0.49,10.0,39.79,1017.41,8.17,0.22,324.0,0.0,26.26,0.0,2016-02
2016-02-24 14:32:00,0.419666667,0.0,0.0396,0.005066667,0.0067,0.012866667,0.03105,0.001,0.00415,0.001483333,0.167266666,0.000683367,0.00225,28.79,0.61,9.12,18.28,1002.73,13.04,0.31,291.0,0.0,17.19,0.0,2016-02
2016-02-26 01:33:00,0.393183333,0.0,0.0417,0.0055,0.006933333,0.012983333,0.033333333,0.001,0.004133333,0.00155,0.16385,0.0007334,0.003416667,33.98,0.43,10.0,27.21,1013.08,8.08,0.03,199.0,0.0,14.04,0.0,2016-02
2016-02-12 18:14:00,0.155333333,0.0,0.0424,0.005483333,0.03005,0.01295,0.030983333,0.000966667,0.004,0.001316667,0.085066667,0.00075,0.2279,-8.05,0.43,9.87,-28.66,1024.66,13.46,0.0,323.0,0.0,-24.56,0.0,2016-02
2016-02-13 09:17:00,0.773783333,0.000233333,0.042766667,0.00485,0.006616667,0.012366667,0.032966667,0.000983333,0.003983333,0.001566667,0.557016666,0.001100033,0.003,7.73,0.31,10.0,-6.81,1031.69,10.63,0.0,312.0,0.0,-16.39,0.0,2016-02
2016-02-07 09:36:00,0.693,1.67e-05,0.041816667,0.12095,0.00685,0.013233333,0.08425,0.000966667,0.0041,0.00165,0.243583333,0.000466667,0.003433333,23.99,0.5,5.42,12.09,1011.25,13.29,0.31,26.0,0.0,8.04,0.0,2016-02
2016-02-23 07:45:00,0.856483333,3.33e-05,0.042733333,0.00475,0.006566667,0.0124,0.032283333,0.001,0.004,0.00155,0.634866667,0.0011167,0.00305,44.58,0.93,4.08,42.3,999.19,4.39,1.0,131.0,0.0477,42.55,0.71,2016-02
2016-02-16 10:39:00,1.802683333,8.33e-05,0.064533333,0.123566667,0.006883333,0.012733333,0.034983333,0.000983333,0.004033333,0.001483333,1.223066667,0.000500033,0.003283333,33.24,0.64,10.0,27.67,1018.3,6.05,0.26,285.0,0.0,22.49,0.0,2016-02
2016-02-11 23:10:00,1.9801,0.000233333,0.04135,0.120916667,0.007133333,0.012766667,0.032533333,0.001033333,0.004166667,0.341866667,1.131183333,0.000283333,0.003216667,10.43,0.77,10.0,3.89,1009.82,3.55,0.31,256.0,0.0,4.76,0.0,2016-02
2016-03-07 18:48:00,0.483516667,1.67e-05,0.039983333,0.1323,0.226733333,0.012783333,0.030616667,0.000983333,0.004066667,0.001483333,0.099316667,0.000400067,0.208016667,64.31,0.39,10.0,64.31,1013.2,8.46,0.07,198.0,0.0,38.88,0.0,2016-03
2016-03-09 11:16:00,1.24445,8.33e-05,0.038816667,0.125583333,0.123383333,0.01335,0.032083333,0.001,0.004166667,0.00155,0.654783334,0.000616667,0.003433333,55.71,0.44,10.0,55.71,1019.81,13.49,0.02,309.0,0.0,34.2,0.0,2016-03
2016-03-24 03:27:00,0.524716667,0.000233333,0.151583333,0.005366667,0.021066667,0.013,0.032733333,0.001,0.004,0.001566667,0.16355,0.000750033,0.003066667,42.79,0.62,10.0,39.56,1027.6,5.27,0.03,128.0,0.0,30.76,0.0,2016-03
2016-03-12 15:39:00,1.415533333,1.336166667,0.098033333,0.004283333,0.006083333,0.011166667,0.030183333,0.001016667,0.004083333,0.001283333,0.298616667,0.0020833329999999,0.41045,38.35,0.87,8.81,32.64,1018.95,7.87,1.0,49.0,0.006,34.75,0.28,2016-03
